lsid	reff_orn	point_orn	dx	dy
141	1	1	7428	54132
141	1	2	12344	12344
141	1	3	17259	54132
141	1	4	-1	54132
141	1	5	27091	54132
141	1	6	32004	54132
141	1	7	-1	54132
141	1	8	-1	54132
141	1	9	36920	49217
141	1	10	32005	49217
141	1	11	27092	49217
141	1	12	49217	22175
141	1	13	17260	49217
141	1	14	-1	-1
141	1	15	12345	-1
141	1	16	7429	49217
141	1	17	7429	44379
141	1	18	340832	44379
141	1	19	12345	44379
141	1	20	44379	17259
141	1	21	22174	44379
141	1	22	27091	44379
141	1	23	32004	-1
141	1	24	-2	-1
141	1	25	36920	39546
141	1	26	32005	-1
141	1	27	32005	39546
141	1	28	27092	39546
141	1	29	22175	39546
141	1	30	22175	39546
141	1	31	17260	-1
141	1	32	12345	39546
141	1	33	12345	34629
141	1	34	12345	-1
141	1	35	17259	-1
141	1	36	22174	34629
141	1	37	27091	34629
141	1	38	32004	34629
141	1	39	-2	-1
141	1	40	41835	34629
141	1	41	-1	29714
141	1	42	-1	1207870
141	1	43	32005	29714
141	1	44	27092	29714
141	1	45	27092	29714
141	1	46	22175	29714
141	1	47	17260	29714
141	1	48	12345	29714
141	1	49	12345	24801
141	1	50	17259	24801
141	1	51	22174	24801
141	1	52	27091	24801
141	1	53	27091	24801
141	1	54	32004	24801
141	1	55	36920	24801
141	1	56	-2	-1
141	1	57	7062316	19882
141	1	58	36921	-1
141	1	59	32005	19882
141	1	60	27092	19882
141	1	61	22175	19882
141	1	62	17260	19882
141	1	63	12345	19882
141	1	64	7429	-2
