run,point,exp_x,exp_y,decoder_x,decoder_y
228,1,9.067,0.014,1000.0,1000.0
228,2,15.068,0.014,66.078,-51.002
228,3,21.068,0.014,21.068,0.008
228,4,27.067,0.014,1000.0,1000.0
228,5,33.07,0.014,33.07,0.008
228,6,39.068,0.014,1000.0,1000.0
228,7,45.069,0.014,1000.0,1000.0
228,8,51.068,0.014,51.068,0.008
228,9,51.068,-5.983,51.068,-15.002
228,10,45.07,-5.983,45.07,-5.99
228,11,39.069,-5.983,39.069,-5.99
228,12,33.071,-5.983,33.071,-5.99
228,13,27.068,-5.983,27.069,-5.99
228,14,21.069,-5.983,21.069,-5.99
228,15,15.07,-5.983,15.07,-5.99
228,16,9.069,-5.983,1000.0,1000.0
228,17,9.069,-11.988,9.069,-11.995
228,18,15.068,-11.988,15.068,-11.995
228,19,21.068,-11.988,21.068,-11.995
228,20,27.067,-11.988,1000.0,1000.0
228,21,33.07,-11.988,33.07,-11.995
228,22,39.068,-11.988,39.068,-11.995
228,23,45.069,-11.988,45.069,-11.995
228,24,51.068,-11.988,51.068,-11.995
228,25,51.068,-17.983,51.068,-17.99
228,26,45.07,-17.983,45.07,-17.99
228,27,39.069,-17.983,39.069,-17.99
228,28,33.071,-17.983,1000.0,1000.0
228,29,27.068,-17.983,27.069,-17.99
228,30,21.069,-17.983,21.069,-17.99
228,31,15.071,-17.983,21.069,-17.99
228,32,9.069,-17.983,1000.0,1000.0
228,33,9.069,-23.987,15.07,-23.993
228,34,15.068,-23.987,21.068,-23.993
228,35,21.068,-23.987,27.068,-23.993
228,36,27.067,-23.987,33.07,-23.993
228,37,33.07,-23.987,39.068,-23.993
228,38,39.068,-23.987,1000.0,1000.0
228,39,45.069,-23.987,51.068,-23.993
228,40,51.068,-23.987,57.068,-23.993
228,41,51.068,-29.983,57.068,-29.991
228,42,45.07,-29.983,1000.0,1000.0
228,43,39.069,-29.983,45.07,-29.991
228,44,33.071,-29.983,39.069,-29.991
228,45,27.068,-29.983,33.071,-29.991
228,46,21.069,-29.983,1000.0,1000.0
228,47,15.071,-29.983,21.069,-29.991
228,48,9.069,-29.983,15.07,-29.991
228,49,9.069,-35.984,15.07,-35.99
228,50,15.068,-35.984,21.068,-35.99
228,51,21.068,-35.984,27.068,-35.99
228,52,27.067,-35.984,1000.0,1000.0
228,53,33.07,-35.984,39.068,-35.99
228,54,39.068,-35.984,45.069,-35.99
228,55,45.069,-35.984,51.068,-35.99
228,56,51.068,-35.984,1000.0,1000.0
228,57,51.068,-41.987,57.068,-41.995
228,58,45.07,-41.987,1000.0,1000.0
228,59,39.069,-41.987,45.07,-41.995
228,60,33.071,-41.987,39.069,-41.995
228,61,27.068,-41.987,39.069,-41.995
228,62,21.069,-41.987,33.071,-41.995
228,63,15.071,-41.987,27.069,-41.995
228,64,9.069,-41.987,21.069,-41.995
